地区Region,2017,2018,2019,2020,2021,2022,2023
南京市,318.14,331.27,327.26,338.88,350.33,355.25,365.83
无锡市,524.68,551.49,563.31,569.39,620.25,600.4,615.03
常州市,351.21,373.05,385.2,400.18,449.65,456.39,466.36
苏州市,1202.04,1227.77,1199.82,1170.57,1271.45,1213.31,1235.38
镇江市,180.02,183.42,190.1,192.23,211.64,211.3,216.13
南通市,275.76,295.86,307.45,323.52,362.5,388.12,450.39
扬州市,162.21,165.64,171.95,174.54,189.62,200.15,214.66
泰州市,201.75,205.74,212.36,221.14,240.15,254.53,268.2
徐州市,245.35,219.91,229.54,219.17,229.4,249.2,260.59
连云港市,120.59,106.52,108.89,118.81,131.68,159.52,216.42
淮安市,111.02,115.97,117.37,117.62,142.02,149.86,174.51
盐城市,190.18,212.54,215.22,242.02,274.61,293.99,321.95
宿迁市,113.93,123.84,137.51,149.24,174.5,182.33,213.05
