"城 市City","1月Jan.","2月Feb.","3月Mar.","4月Apr.","5月May","6月Jun.","7月Jul.","8月Aug.","9月Sept.","10月Oct.","11月Nov.","12月Dec."
"南京Nanjing",4.8,6,12.7,17.2,21.5,25.7,28.6,28,24.4,18.9,12.2,4.8
"无锡Wuxi",5.4,6.9,13.1,17.8,22.2,25.9,29.8,29,25.7,19.5,13.3,5.5
"徐州Xuzhou",2,5.1,12.9,16.4,21.8,26.6,28.8,28.3,23.9,18.3,10,2.3
"常州Changzhou",5,6.4,13,17.4,22.1,26,29.4,28.6,25.3,19.3,13.1,5.1
"苏州Suzhou",6.1,7.1,13,17.7,22.1,25.9,29.7,28.9,25.7,20.3,14.1,6.3
"南通Nantong",4.6,5.6,11.8,16.3,21.1,24.8,28.8,28.3,24.8,19.2,12.9,5.3
"连云港Lianyungang",1.6,3.9,11.1,14.6,20,25.2,27.8,27.2,23.4,18,9.7,2.3
"淮安Huaian",2.6,4.6,11.8,15.6,20.3,25.3,27.9,27.1,23,17.5,10.2,2.6
"盐城Yancheng",2.6,4.6,11.5,15.6,20.3,24.9,28.1,27.8,24.2,18.2,11.3,3.4
"扬州Yangzhou",3.7,5.5,12.8,17,21.8,25.7,28.8,28.2,24.5,18.4,11.7,3.8
"镇江Zhenjiang",3.8,5.7,12.3,16.8,21.4,25.5,28.5,28.2,24.7,18.5,11.8,4.2
"泰州Taizhou",3.5,5.3,11.9,16.2,20.9,25,28.4,27.9,24.4,18.5,11.7,4
"宿迁Suqian",2.6,4.9,12.9,16.1,21.4,26.1,28.3,27.9,23.6,18.8,10.5,3
